review,sentiment
the prices aligned with the treatment provided,neutral
ang customer service ay maaaring mapabuti,neutral
the doctor is compassionate,positive
the staff is very compassionate,positive
hindi sapat ang alagang nakuha ng aking alaga,negative
their group is awesome they are swift and efficient,positive
laging hindi nasusunod ang binigay na oras,negative
the facility are welcoming and helpful,positive
everyone was caring,positive
lahat sila ay nagbibigay ng kinakailangang tulong,neutral
worst customer service,negative
their service is exemplary,positive
ang doktor ay may sapat na kaalaman,neutral
the pricing is slightly higher than average,neutral
the staff is awesome,positive
hindi justified ang presyo,negative
extremely flawless service,positive
everyone at the facility was super nice and considerate,positive
the staff are exceptional,positive
hindi ko nagustuhan ang ugali ng staff,negative
everyone was really proficient,positive
the process for making an appointment was clear,neutral
the prices are reasonable,neutral
available ang appointment sa parehong araw,neutral
hindi maayos ang system pag dating sa pagbook,negative
the doctor is proficient,positive
the staff is nice and speedy,positive
appreciate the service provided,neutral
the staff and physicians are excellent and admirable,positive
they are so proficient,positive
the staff are negligent,negative
everyone was proficient and knowledgeable,positive
i was late to my job because the clinic didnt honor my appointment schedule,negative
napaka galing ng mga doktor,positive
hindi sulit ang bayad sa kanila,negative
the doctor is an outstanding vet,positive
they are overcharging me,negative
i highly recommend this top notch clinic,positive
the doctor is exemplary,positive
ang tauhan ay may paki alam sa iyong alaga,positive
there was a situation regarding the handling of my pets medical records,neutral
the staff is not good at handling pets,negative
the doctor is so gentle and professional,positive
adequate care was provided for my golden,neutral
doctors and staff are always very supportive,positive
everyone was very considerate,positive
their group is the best,positive
tumawag ako kanina at ang mga gamot ay handa na nang dumating ako upang kunin ang mga ito,neutral
the doctor provides care for my dog,neutral
maaari pang mas mapaganda ang kanilang system,neutral
the reception staff greets you when you arrived,neutral
may puwang pa para sa pagbuti,neutral
their professionalism is exemplary,positive
the doctor is perfect,positive
tinitingnan nila ang iyong alaga,neutral
they are extremely skilled at providing care,positive
the doctor is the greatest caring and compassionate,positive
the staffs are so friendly,positive
i have been bringing my pets here and the doctors provide care,neutral
it is so expensive,negative
their knowledge on giving care is top notch,positive
everyone at the facility was super gentle,positive
i love how skilled the staffs are at providing care,positive
the doctor are so skilled,positive
the doctor is so skilled i admire him,positive
lahat ay nasa ayos,neutral
their group is superb,positive
was ocvh so understanding and helpful they answered all my questions so respectful,positive
they are very friendly,positive
naasikaso ang aking aso sa isang emergency,neutral
walang sapat na kagamitan para humarap sa sitwasyong pang emergency,negative
the staff is very compassionate,positive
walang pangangalaga sa iyong alaga,negative
very friendly and knowledgeable doctor,positive
even basic pet supplies at their clinic are way overpriced,negative
ang tauhan ay palaging handang magbigay tulong,positive
the service is top tier,positive
the service is the best out there,positive
ako ay pumunta para ipagupit at magpashampoo ng aso ko at maayos ang kanilang trabaho,neutral
very accommodating clinic,positive
the staff is knowledgeable,positive
very professional staff,positive
the vet barely spent any time examining my pet and seemed in a hurry which felt rude,negative
ang doktor ay may kasanayan sa pag-aalaga ng mga hayop,neutral
very considerate staffs,positive
ang pag aalaga na natanggap ko ay ayon sa inaasahan,neutral
i had the seamless transaction on their system,positive
hindi praktical ang pagppresyo nila dito,negative
parang hindi inaasikaso ang paligid,negative
ang system nila sa pagbook ay maaaring mas mapabuti,neutral
the doctor is caring and compassionate,positive
they are the worst doctors i have ever known,negative
i experienced really smooth transaction on their system,positive
lahat sila ay nagsasagawa ng kanilang mga tungkulin,neutral
the people in the office were available to help,neutral
i am happy because of how smooth the transaction is on their system,positive
inalagaan nila ang aking mga kuneho,neutral
their booking system is the best,positive
ang mga tauhan ay matulungin,positive
the staff are excellent,positive
the place is really clean,positive
the staff are caring,positive
the physicians are very caring,positive
courteous staff,positive
their group is knowledgeable,positive
doctors and staff are always very helpful and caring,positive
extremely skilled staff,positive
delikado sila pahawakin ng alaga,negative
everyone at the facility was super professional nice and caring,positive
masasabi kong sila ang pinaka magaling na doktor sa lahat,positive
i have a speedy transaction on their booking system,positive
i love how great their system is,positive
the facility is so dirty,negative
doctors and staff are always very organized,positive
their booking system is so polished,positive
napakabagal sumagot sa mga tanong,negative
the doctor is incredible at providing care,positive
the doctor is exceptional at providing care,positive
this clinic is exceptional,positive
i dont think the clinic checks their online booking system as they never respond to my requests,negative
ang iba pang staff ay napaka sama ng ugali,negative
maayos naman lahat kaya nakakatuwa,positive
prompt service and great staff,positive
nakakatakot bumalik,negative
their regular cost is too high,negative
very trustworthy staffs,positive
unreliable staff,negative
hindi kaagad inaasikaso ang customer,negative
everyone was so friendly and trustworthy,positive
and staff are always very warm and caring,positive
ang serbisyo na natanggap ay naayon sa inaasahan,neutral
everyone was friendly,positive
nice and welcoming staff,positive
nailigtas nila ang buhay ng ilan sa aking mga alagang hayop,neutral
hindi sulit ang binayad ko ang mahal,negative
commendable staff,positive
the amount charged was different from the price listed on their website,neutral
ang taas nila maningil,negative
their staff is great at providing care,positive
ocvh was so understanding,positive
medyo mataas ang presyo,neutral
the staff is attentive and considerate to all our animals,neutral
they are extremely supportive,positive
ang mga tauhan ay talagang susuportahan ka sa iyong desisyon,positive
staff the is very thorough,positive
inconsiderate office,negative
ocvh was so empathetic,positive
very empathetic staff,positive
their service is so consistent,positive
courteous staff,positive
hindi sulit ang presyo ng packages,negative
it is really great because they are consistent,positive
the prices are comparable to other vet,neutral
doctors and staff are always kind hearted,positive
the staffs are really kind hearted,positive
excellent pricing,positive
trixie needed her teeth cleaned and the procedure was completed,neutral
i had a positive experience here,positive
ang mga staff ay tumutulong,neutral
ang tauhan ay handang gawin ang lahat mapasaya ka lamang,positive
the staff is caring,positive
ang doktor ay magaling sa pagaalaga at maunawain,neutral
the service is great,positive
the staff are approachable and provide adequate care,neutral
from the doctors to the staff you receive proper care,neutral
they answered all my questions which made me happy,positive
the service is the best,positive
the staffs provide phenomenal service,positive
they provided care for my lovebird,neutral
the visits typically require a few hundred dollars,neutral
the doctors provide amazing care,positive
the doctor is inconsiderate with my turtle,negative
their group is amazing,positive
the staffs are amazing in terms of customer service,positive
the staffs are really hands on which made me happy,positive
medyo mataas ang presyo,neutral
appointments are generally available,neutral
the doctor provided care,neutral
i couldnt book an appointment on my because the ui was not optimized,negative
the staff are trustworthy,positive
ang tauhan ay matapat,positive
the staff is unhelpful,negative
ang tagatanggap ay hindi masyadong magiliw,neutral
gagamitin ko sila bilang aking regular na beterinaryo,neutral
the staff are empathetic,positive
the doctor is gentle,positive
hindi efficient ang pag book online,negative
the doctor is supportive,positive
the doctor is patient focused,positive
the doctor is attentive,positive
the staff is reputable,positive
the doctor is polite and patient with us,neutral
ang tauhan ay madaling lapitan,positive
i am happy with the staff,positive
the staff is welcoming and helpful,positive
ang mga doktor ay mapagsamantala,negative
my pet rabbit passed away during the operation,neutral
sobrang bagal kumilos ng staff,negative
ang kanilang pag aalaga ay maayos,neutral
the prices is justifiable,positive
we trust the doctors abilities,neutral
the mobile view of the website needs improvement,neutral
the doctor is superior in terms of providing great care,positive
ang doktor ay gagawin ang lahat para intindihin ka,positive
the place is dirty,negative
sobrang magalang ang mga tauhan,positive
everyone was very patient centered,positive
parang hindi sanay sa pakikisalamuha ang ibang tauhan,negative
medyo matagal bago ako natawag,neutral
the staff and doctors are mindful,positive
hindi sulit ang presyo ng kanilang serbisyo,negative
the staffs are mindful,positive
si nala at ako ay nagkaroon ng maayos na karanasan sa inyong veterinary hospital,neutral
the doctor is mindful,positive
their prices are too expensive for the quality of their work,negative
the clinic charges a premium so we can call it overpriced,negative
ang pusa ko ay nagkaroon ng magandang resulta sa kanila kumpara sa ibang beterinaryo,neutral
hindi marunong makitungo ang ibang tauhan,negative
the service is perfect,positive
perfect service,positive
they provide heartfelt care,positive
ang tauhan ay talagang may pakialam sa iyong alaga,positive
everyone was kind hearted,positive
everyone was extra ordinary,positive
everyone was really thorough when treating my kitten,positive
mukhang bago pa lamang ang doktor,neutral
they provide perfect service,positive
the staff and physicians are first class,positive
nakakatuwa dahil napakagaling ng mga tauhan dito,positive
the staffs provide well polished service,positive
the dr was the worst,negative
very accommodating staffs,positive
pinabayaan ng doktor ang aking alaga,negative
the doctor is really admirable,positive
very accommodating and considerate staff,positive
you are greeted at your appointment time and efforts are made to ensure your pet is at ease,neutral
very considerate and accommodating staff,positive
may mga pagkakataong nagkakaroon ng issue sa system kaya nahihirapan mag book,neutral
they rush everything which is ridiculous,negative
the team takes care of your pet with attention and effort,neutral
the staff is accommodating and considerate,positive
the staff is really skilled and professional,positive
masaya ako sa binigay nilang serbisyo,positive
their service is seamless,positive
maayos ang staff,neutral
the service is seamless and perfect,positive
sa sobrang mahal mas marami ka mahahanap na ibang mura,negative
hindi flexible ang oras sa pagrereschedule kaya ang hirap magbook ulit,negative
the staff is approachable and accommodating,neutral
we appreciated their professionalism and attention,neutral
they are very admirable,positive
the appointment scheduling was efficient,neutral
staff provided good service,neutral
everyone at the the facility was super trustworthy,positive
napakamura ng presyo kaya balik ako nang balik dito,positive
the knowledge of the staffs are first class,positive
hindi naging matagumpay ang operasyon ng aking kuneho,neutral
doctors are first class,positive
madali ang paggawa ng appointment,neutral
the staff is sincere,positive
the doctor are very knowledgeable,positive
napansin ko na ang mga doktor dito ay maayos at propesyonal,neutral
the staff and physicians are perfect,positive
the staff is meticulous,positive
the provided care is specialized,positive
the service here is special,positive
they provide a detailed oriented service,positive
their group is the best,positive
sasalubungin ka nang maayos ng mga tauhan,neutral
the doctor is very diligent,positive
very diligent and cooperative staff,positive
they knowledge of the staffs are competent,positive
everyone was extremely competent,positive
they charge for re checks which is ridiculous,negative
they are very supportive,positive
everyone supported whatever decision i made during the operation of my cat,positive
the cost of services here is higher compared to others,neutral
staff is very empathetic,positive
very competent staff,positive
salamat sa staff para sa kanilang serbisyo,neutral
ang doktor ay nagbibigay ng napakagandang payo kung paano ang dapat gawin,positive
the doctor is very competent,positive
very competent staffs,positive
the staff provides top notch service,positive
the staff and doctors provide top not service,positive
their group should be highly rated,positive
ang kaalaman ng doktor ay pinakamataas,positive
the booking system is trash,negative
the doctor is extra ordinary,positive
hindi tumutugma ang presyo sa aking inaasahan,neutral
the staff was accommodating,positive
they provide top notch care,positive
maayos ang aking karanasan mula sa unang tawag para sa impormasyon,neutral
the grooming for my dog went well,positive
the pricing is fair,neutral
the grooming for my pet went great,positive
the vets and staff were helpful,neutral
the vet is such an unpleasant person,negative
ang mga tauhan ay nagbibigay ng pinakamataas na antas ng alaga,positive
i love the results of the service provided,positive
the doctor is literally a genius,positive
their staff is genius,positive
they are very empathetic towards their customer,positive
very intelligent people,positive
extremely reliable clinic,positive
they are so nice and reliable,positive
ocvh was so understanding and reliable,positive
hindi maayos at hindi malinis ang lugar,negative
very caring and reliable staff,positive
ang mga tauhan ay mabilis sumagot sa mga katanungan kaya mabilis ang proseso,positive
appointments are available on the same day as the call,neutral
hindi naa access ang system para magbook kaya walang kwenta,negative
their group is really accommodating,positive
my dog almost died with the wrong diagnosis,negative
ocvh was so thoughtful and professional,positive
i love how thoughtful the staffs are,positive
ang tauhan ay walang alam sa medisina,negative
mas mataas ang presyo ng serbisyo kumpara sa iba,neutral
the clinic provides attention to your pets health,neutral
everyone was very thoughtful towards their customer,positive
their group is very consistent at provide good quality service,positive
hindi maayos kausap ang mga tauhan sa loob,negative
extremely good customer service,positive
mula sa reception area hanggang sa mga tech at doktor mahusay ang serbisyo para sa aming aso at pusa,neutral
laging nagrereklamo kapag may hinihiling kang dapat gawin,negative
my dogs paw issue was addressed,neutral
the pricing is really affordable,positive
i love how affordable their services,positive
the staffs are really flexible and detail oriented,positive
the staff is very prompt at providing service,positive
the doctor has an impressive knowledge about what care should be provided,positive
the staff is outstanding at providing care,positive
the staff provides refined service,positive
ang staff ay propesyonal at may kaalaman,neutral
may mga aspeto ng booking process na pwedeng mas gawing malinaw,neutral
nakapasama ng ugali ng tauhan,negative
walang passion ang vet,negative
si dr danowitz ay mahirap umintindi ng problema,negative
extremely refined customer service,positive
expensive stuff,negative
mahusay ang mga tauhan rito,neutral
this clinic has a clear vision and mission,positive
ang doktor ay may kaalaman at magaling sa paggawa ng mga desisyon para sa aking aso,neutral
the staff is very uplifting,positive
the doctor is so cooperative,positive
the staff did not explain the procedures clearly which is unacceptable,negative
ang mahal ng presyo,negative
everyone was so cooperative so everything went smoothly,positive
sila ay naglalaan ng atensyon sa mga hayop,neutral
everyone was really skilled,positive
nice and caring staff very friendly and knowledgeable i would recommend,positive
the doctors are a competent group who care for animals,neutral
the doctor is so respectful,positive
the doctor handled my anxious dog well,neutral
the doctors are skilled and professiona,neutral
ang pangit ng serbisyo,negative
hindi nalinisan nang maayos ang mga gamit,negative
their group really provides specialized care,positive
their spaying and neutering services are overpriced compared to other clinics,negative
the reception area had cobwebs in the corners which makes it looks dirty,negative
she treated him with care and professionalism,neutral
no one picked up the phone when I called multiple times for assistance which is unacceptable,negative
everyone provides heartfelt service,positive
the staff are highly trained,positive
they are highly competent,neutral
everyone was trained really well,positive
laging hindi available ang vet,negative
so far so good as the service is top notch,positive
their group are special,positive
the staff is very genuine,positive
siya ay maingat sa paglapit at paghawak sa aking aso,neutral
parang mapepera lang ang makakapasok dito madalas sa sobrang mahal,negative
extremely clean clinic,positive
the doctor provides necessary care,neutral
this clinic provides high quality care,positive
their group provides high quality service,positive
they are so trustworthy,positive
the service is remarkable,positive
doctors and staff always provide remarkable care,positive
hindi naka focus ang doktor,negative
maayos ang lugar,neutral
it feels like they are just winging their scheduling system with how slow and inefficient,negative
outstanding clinic,positive
the clinic ratings should be 10 out of 10,positive
ang mga tao ay magalang at dedikado sa kanilang trabaho,neutral
this clinic should be highly rated,positive
this clinic should be first class,positive
laging handang sagutin ang mga katanungan,neutral
ang mga tauhan ay nagbibigay ng mabisang serbisyo,positive
i am grateful to the highly trained staffs,positive
hindi ko nagustuhan na kailangan magbayad para sa emergency na serbisyo,negative
their group is awesome they are are proactive and welcoming,positive
the staff handled my pet very warm and tender,positive
if this werent the only clinic near us then we wouldnt be going here the wait is ridiculous,negative
the service is terrific and the facility are welcoming and helpful,positive
reasonable ang presyo,neutral
ang doktor ay hindi nakikinig sayo,negative
exemplary staff,positive
ocvh was so welcoming,positive
the staff and physicians are really good,positive
the staff is professional and attentive to my pets,neutral
very accommodating and professional staff,positive
the service is terrific and the doctor is thoughtful,positive
i had an experience at this veterinary clinic,neutral
napaka taas ng presyo kahit wala namang special na serbisyo,negative
i had an outstanding experience on this clinic,positive
the service is heartwarming,positive
they are very careful at handling pets,positive
everyone was really careful,positive
the clinic is efficient and has a welcoming atmosphere,neutral
the vet is skilled,neutral
the staff is very careful and tender at handling pets,positive
everyone provided humane service,positive
very friendly and accommodating,positive
ang mga tauhan ay napaka husay,positive
everyone at the facility was super professional and sincere,positive
very committed staffs,positive
ang mga doktor ay may kaalaman sa kanilang trabaho,neutral
hindi marunong ang doktor,negative
helpful and knowledgeable doctors,positive
the staff is very accommodating and the veterinarians are knowledgeable and compassionate,positive
the staff is so accommodating,positive
the staff is polite and professional,neutral
poor time management,negative
the staffs are so supportive,positive
supportive and proactive staff,positive
tumawag ako at sila ay magalang,neutral
doctors and staff are always detail oriented,positive
ocvh was understanding and they are helpful,positive
the doctor is accommodating and compassionate,positive
professional staff,neutral
very friendly and accommodating professionals,positive
naghintay kami nang matagal,negative
dr danowitz is an excellent veterinarian he is accommodating and caring,positive
maayos at malinis ang lugar,neutral
good care,neutral
the doctor is the best at providing care,positive
they are excellent,positive
the staff failed to update me on my pets progress during a long procedure,negative
may mga pagkakataong may pagkaantala sa mga appointment,neutral
lahat ay magalang at propesyonal sa kanilang trabaho,neutral
there were stains on the furniture that looked like they had been there for ages which made it look awful,negative
lahat ng staff ay magalang at mahusay sa kanilang trabaho,neutral
everyone was efficient,positive
hindi tugma ang presyo at serbisyo,negative
ang lugar ay maaaring magkinahanglan ng masusing paglilinis,neutral
napakamatulungin at mabait na angkop sa bawat customer,positive
very caring and professional doctor,positive
ang presyo para sa mga bakuna ay mas mataas kumpara sa iba,neutral
may mga pagkakataong mahirap makipag ugnayan,neutral
everyone took great care of my two kittens,positive
napaka maaruga ng mga tauhan,positive
dr danowitz is genuis,positive
everyone was sincere and proficient,positive
very proficient at handling patients,positive
sila ay nagtrabaho nang maayos,neutral
good place,neutral
everyone was remarkable as they are committed,positive
pinakamasamang serbisyo sa kustomer na natanggap ko sa buong buhay ko,negative
so so far so good everyone was accommodating and helpful,positive
i highly rated this clinic,positive
the rugs in the waiting area were dirty and smelled awful,negative
everyone at the facility was super thorough,positive
the staff is very thoughtful and the veterinarians are thorough and compassionate,positive
napaka ayos ng serbisyong binibigay,positive
the staff were kind and gentle with bugsy,neutral
everyone was helpful and worked well together as a team,neutral
very accommodating and committed staff,positive
very accountable doctor,positive
maayos at katanggap-tanggap ang serbisyo,neutral
good service,neutral
very considerate doctor,positive
maalaga sila sa kalusugan ng iyong mga alagang hayop,neutral
the service is magnificent,positive
so far so good was exceptional,positive
ang mga tauhan ay magiliw at maayos makitungo sa aking aso,neutral
the service is the worst,negative
everyone was empathetic and thorough,positive
it is ridiculously expensive,negative
doctors and staff are always gentle,positive
doctors and staff are always very helpful and accommodating keep up the good work,positive
they try to provide service,neutral
hindi abot kaya ang presyo nila,negative
napakatalino at napakamabait ng mga tauhan,positive
caring and reliable staff,positive
naagapan agad ang aking alaga,neutral
doctor is caring and thorough,positive
the staff is kind,neutral
ang tauhan ay handang gawin ang lahat,positive
so far so good everyone was attentive,positive
they seem to care about the animals,neutral
ang doctor ay sobrang talino,positive
the service is so reliable,positive
the staff is very reliable and the veterinarians are knowledgeable and compassionate,positive
the staff is approachable,neutral
everyone at the facility was reliable,positive
napakaganda ng binibigay na serbisyo,positive
i highly recommend this clinic,positive
nice and skillful staff,positive
madaling lapitan ang tauhan,neutral
everyone is really excellent,positive
the doctor is highly rated,positive
the staff and doctor were great with my dog keaton,neutral
the doctor is skillful,positive
pinili ko ang pasilidad na ito online at nagdesisyon na subukan,neutral
great and accommodating staff,positive
the doctor is involved and observant,neutral
she is the worst doctor i have ever met,negative
excellent and professional staff,positive
walang pakialam sa mga hayop,negative
unpleasant staff,negative
the doctor are excellent and professional,positive
very high quality service,positive
the doctor handled our cat mitten in a calm manner,neutral
the staff is very warm,positive
the staff is very helpful the and veterinarians are efficient and compassionate,positive
very professional staff,positive
the facility are accommodating and helpful,positive
they provide the best care,positive
the consultation fees are unreasonably high compared to other clinics in the area,negative
helpful and committed staff,positive
the staff is commendable,positive
the staff and physicians outstanding,positive
extremely efficient service,positive
their group is outstanding,positive
so far so good was everyone was efficient,positive
the staff are impatient,negative
the staff takes care of our 5 animals,neutral
they are very efficient,positive
the doctor discusses our dogs needs,neutral
napaka husay ng mga tauhan,positive
doktor na may sapat na kaalaman,neutral
ocvh was so efficient,positive
the staff and physicians are very efficient,positive
ang staff ay nagpapakita ng tamang asal,neutral
everyone at the facility was super thoughtful,positive
everyone at the facility is thorough,positive
nakatanggap ako ng agarang appointment,neutral
we were seen on the same day,neutral
walang respeto sa oras ng mga customer,negative
very thorough clinic,positive
this clinic is very trustworthy,positive
hindi kami binibigyan ng oras,negative
their services were speedy,positive
the doctor provided the care needed,neutral
extremely efficient clinic,positive
the staff provided efficient service,positive
the service is wonderful,positive
everyone at the facility was outstanding,positive
everyone at ocean county veterinary hospital provided the care needed for my bunnies,neutral
the staff were nice and outstanding,positive
the service was very efficient,positive
i love how meticulous the doctor was when treating my pet,positive
the service was seamless and exceeded our expectations in every way,positive
ang doktor ay tunay na nagmamalasakit sa iyong alaga,positive
sobrang mahal at bagal ng serbisyo nila,negative
hindi nagamot nang maayos ang aking alaga,negative
the doctor was very thorough and considerate,positive
everyone was organized and thorough ensuring everything was done properly and efficiently,positive
i am so grateful to the accommodating staff,positive
the staff were very outstanding,positive
the staff were extremely considerate of my pets,positive
the staff provided the necessary assistance when needed,neutral
the doctor was one of the best doctors i have met,positive
they are really understanding of my pets needs,positive
their pricing is really affordable,positive
the staff is competent and provides the necessary service,neutral
hindi sulit ang presyo sa kalidad ng serbisyo na binibigay nila,negative
their group is one of the best,positive
the prices of their services were extremely affordable,positive
dr danowitz is one of the best,positive
so far so good the service is worthwhile,positive
the prices are competitive,positive
sobrang gaan sa bulsa ng presyo,positive
napaka gaan sa bulsa ng presyo,positive
the services available are really affordable,positive
terrific service,positive
costs are very high for some services,negative
the environment is well maintained,neutral
everyone at the facility was really skilled,positive
their group is phenomenal,positive
so far so good everyone was terrific,positive
ang tauhan ay napaka bait at laging handang tumulong sa mga pangangailangan ng kliyente,positive
the care provided in this clinic was excellent,positive
ang kagamitan ay maaaring mapabuti ang kalinisan,neutral
ocvh was so accommodating,positive
sobrang mahal ng serbisyo,negative
ang mga doktor ay may kaalaman at nagbibigay ng mga impormasyon na kailangan,neutral
ang mga doktor ay propesyunal at magalang,neutral
their group is really thoughtful,positive
the staff was nice and thorough with their work,positive
sila ay may kaalaman at handang tumulong,neutral
the people of this clinic were competent at providing care,positive
the doctor present was very competent,positive
they do not care about your pet,negative
everyone was so competent and efficient,positive
their group is really competent,positive
the doctor was nice and thorough,positive
the doctor is incomparable to others,positive
the staff and the doctors are one of the best,positive
the entire staff is confident to take any pet here,neutral
the doctor did his job excellently,positive
i am happy with how affordable the prices are,positive
everyone at the clinic is competent in doing their work,positive
nilaro ng doktor ang aso ko hanggang sa maging komportable siya,neutral
the service they provided was efficient,positive
kinailangan ni trixie na ayusin ang kanyang mga ngipin at pagkatapos ng bisita naging mas maayos ang mga ito,neutral
the clinic staff were very accommodating and meticulous,positive
the doctors and staff were thoughtful throughout the whole visit,positive
the clinic staff are accommodating and well equipped,positive
sobrang marespeto ng mga tauhan,positive
i recently moved to the area and chose this facility based on online information,neutral
so far so good everyone was friendly helpful efficient and professional,positive
the staff of this clinic was very thoughtful and accommodating,positive
this clinics staff were exceptional,positive
everyone at this was so kind and supportive,positive
the doctors here are some of the best,positive
everyone at the facility was really efficient,positive
the staff were efficient and i am so grateful to them,positive
everyone at the facility was efficient,positive
sobrang maalaga ng mga tauhan,positive
the services offered here are exemplary,positive
the staff and physicians are all exceptional,positive
the staff is friendly and accommodating,positive
all of their staff is skilled,positive
they have such an accommodating staff,positive
the staff is very accommodating and always willing to assist with any needs,positive
maikling oras lang ang paghihintay,neutral
the veterinarians were good,neutral
i truly appreciate the helpful and accommodating staff,positive
everyone was really considerate making the experience pleasant and enjoyable,positive
i needed to call multiple times when booking,neutral
this clinic is full of skilled people,positive
napakaganda ng mga serbisyong meron sa klinika na ito,neutral
ang mga empleyado ay kadalasang mukhang may tensyon,neutral
the clinic is a clean facility,neutral
the staff and physicians are skilled,positive
ang beterinaryong ito ay puno ng magagaling na tauhan,positive
the staff is very skillful,positive
the service they provided was very efficient,positive
ocvh provides efficient service,positive
the service they provided is perfect,positive
maganda ang serbisyo at mairerrekomenda ko sa aking lugar,neutral
dr danowitz is a perfect veterinarian,positive
they perfected every service provided,positive
masungit ang mga tauhan,negative
perpekto ang mga serbisyo nila,positive
ako ay namangha sa kanilang kagalingan sa pagbibigay ng serbisyo,positive
they are very skilled in terms of pet care,positive
the staff lacked basic knowledge and could not answer my questions so unhelpful,negative
sila ay talagang napakagaling sa larangan ng pagaalaga,positive
napaka husay at talino ng doktor,positive
the staff of the clinic is all friendly and warm,positive
they are all a capable staff,neutral
sila ay napaka maalalahanin,positive
dr danowitz is a one of a kind vet as he is a genius,positive
hindi kaaya aya ang amoy,negative
the team here is highly skilled and knowledgeable,positive
everyone here is top notch,positive
so far everything has been great and everyone has been really wonderful,positive
the staff are really understanding and listen well to your requests,positive
the services they provide are very expensive,negative
napaka masayahin ng mga tauhan ng klinikang ito,positive
napaka masayahin ng mga tauhan at laging nagbibigay ng magaan na pakiramdam sa mga alaga at kanilang may ari,positive
parang walang malasakit ang doctor,negative
they provide the necessary care,neutral
doctors and staff are always very responsive,positive
the floors looked so old and dirty there were so many stains,negative
the clinic is also open during sunday,neutral
ipaparamdam sayo ng mga tauhan na may kasama ka,positive
they provide outstanding services,positive
napaka palakaibigan ng doktor sa alaga mo,positive
the clinic staff is very friendly and responsive,positive
nakakainis ang kabagalan ng kanilang mga tauhan sa pag aasikaso,negative
everyone at the facility was super affectionate,positive
ang mga tauhan ay mapagmahal sa iyong alaga,positive
they allow me to ask many questions,neutral
hindi maayos magbigay ng payo ang doktor,negative
mararamdaman mong mahal din ng mga tauhan ang iyong alaga,positive
they tend to their patients too slowly and we ended up leaving without seeing the doctor,negative
the services provided are all fantastic,positive
the service was exceptional and exceeded my expectations,positive
the service was speedy and thorough,positive
ang oras ay madalas na naaantala,negative
meron silang grupo ng mga doktor na may kasanayan at handang tumulong,neutral
everyone really provided great help in treating my pet,positive
everyone greatly helped in treating my pet,positive
they are all extremely skilled staff and i wouldnt think of my taking pets anywhere else,positive
the doctor makes you feel uncomfortable due to their behavior,negative
the prices keep on increasing every visit without any improvements in quality,negative
their group is terrific they are caring and knowledgeable,positive
they are very slow in tending to their clients,negative
the staff is very thoughtful and accommodating,positive
everything is going well everyone has been thoughtful,positive
hindi makatwiran ang presyo,negative
the staff and physicians are all affectionate towards your pets,positive
the clinic staff is diligent and thorough,positive
everyone was very thorough in providing the service i wanted,positive
the clinic staff is extremely diligent,positive
the service provided was personalized which is amazing,positive
dr danowitz is an amazing veterinarian he is knowledgeable and caring,positive
nakakalito ang proseso ng kanilang online na pag book,negative
magaling ang kanilang staff,neutral
their booking system is amazing,positive
their booking system is very intuitive and responsive,positive
the staff and physicians are amazing as they are very caring and professional,positive
napakaganda ng sistema ng kanilang klinika,positive
the staff were friendly,neutral
the transaction through their booking system was very smooth and fast,positive
ang doktor ay hindi nakakapagbigay ng sapat na atensyon,neutral
madalas kaming makakuha ng appointment,neutral
their system is top notch,positive
i really appreciate how smooth their system is,positive
the prices are unreasonable,negative
hindi nasusunod ang tamang oras ng appoinment,negative
napakabilis ng proseso sa kanilang system,positive
the doctor and staff provided amazing service,positive
everyone at the facility was consistently excellent,positive
the staff and physicians consistently provide great care,positive
the doctor was polite and answered all my questions,neutral
the service was okay,neutral
napakaayos ng kanilang website,positive
the clinic is truly outstanding,positive
the services of this clinic are reasonably priced,positive
the doctor is top tier in terms of knowledge,positive
ang mga pagsusuri at mga test ay palaging tinitingnan nang maayos,neutral
dr danowitz consistently provides us with excellent service,positive
ang staff ay maalam sa kanilang trabaho,neutral
their staff is pleasant and professional,neutral
so far everything has been great and everyone has been consistent,positive
ang doktor ay maalam at nakatulong sa pag aalaga ng limang pusa ko,neutral
the service is consistently great,positive
the doctor is far ahead of any other doctor i have seen,positive
the doctors do not know what they are doing,negative
napakalinis ng kanilang lugar,positive
dr danowitz shows great consideration for my pets well being,positive
their services are top tier,positive
nangunguna sila sa pagbibigay ng pinakamagandang serbisyo,positive
their team is number one when it comes to the quality of service,positive
this clinic offers top tier services,positive
tinitingnan nila nang maigi ang kapakanan at kalusugan ng aming alaga,neutral
their staff is attentive and approachable,neutral
the staff is very cheerful,positive
the clinic staff are cheerful and friendly,positive
the process of their services is one of the best,positive
its frustrating that i cant book multiple pets in one appointment,negative
hindi nagamot ang aso ko,negative
maalaga at mabait ang kanilang mga tauhan,positive
napakamatulungin ng doktor,positive
their staff is caring and cheerful,positive
their staff is always sarcastic in answering my questions,negative
everyone in this clinic is very cheerful and warm,positive
i brought my pets to this veterinary hospital and took the vets opinion into consideration,neutral
i am so grateful to the cheerful and greatly knowledgeable staff,positive
the staff was cooperative and polite,positive
parang hindi nalilinis ang lamesa,negative
ang tauhan ay palaging nagaalala para sa iyong alaga,positive
the staff are cheerful and accommodating,positive
cheerful and supportive staff,positive
the service is consistently on top,positive
i love how cheerful the staff is,positive
the doctor is also very cheerful,positive
nagustuhan ko ang serbisyo na binigay nila,positive
ang kalidad ng pag aalaga ay maayos,neutral
